City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Camacha,PT,2022-02-10 18:53:17,33.0833,-16.3333,63.36,94,40,8.05
120,Nanchong,CN,2022-02-10 18:53:18,30.7951,106.0847,46.33,74,100,4.03
121,Moose Factory,CA,2022-02-10 18:53:18,51.2585,-80.6094,3.2,72,100,10.36
122,Mariental,NA,2022-02-10 18:53:19,-24.6333,17.9667,83.41,39,17,5.84
123,Halifax,CA,2022-02-10 18:53:08,44.6453,-63.5724,39.49,78,100,13.8
124,Hermanus,ZA,2022-02-10 18:53:20,-34.4187,19.2345,65.89,76,0,4.81
125,Cremlingen,DE,2022-02-10 18:53:20,52.25,10.65,44.35,61,40,9.22
126,Lauria,IT,2022-02-10 18:53:21,40.0465,15.8358,44.19,79,1,0.4
127,San Patricio,US,2022-02-10 18:53:22,28.017,-97.5169,72.32,39,100,4.47
128,Yellowknife,CA,2022-02-10 18:53:22,62.456,-114.3525,-9.58,82,75,13.8
129,Brae,GB,2022-02-10 18:53:23,60.3964,-1.353,35.29,56,99,21.25
130,Bredasdorp,ZA,2022-02-10 18:53:15,-34.5322,20.0403,65.52,63,0,8.05
131,Khor,RU,2022-02-10 18:53:24,47.8861,134.9464,1.51,96,100,4.56
132,Lieksa,FI,2022-02-10 18:53:24,63.3167,30.0167,29.1,84,100,12.73
133,Bilma,NE,2022-02-10 18:53:25,18.6853,12.9164,67.84,15,0,7.25
134,Concarneau,FR,2022-02-10 18:53:26,47.875,-3.9225,44.06,81,22,7.52
135,Kahului,US,2022-02-10 18:53:26,20.8947,-156.47,76.84,71,0,4.61
136,Uarini,BR,2022-02-10 18:53:27,-2.99,-65.1083,91.35,80,100,1.74
137,Rutana,BI,2022-02-10 18:53:28,-3.8667,30.1,57.52,90,96,2.15
138,Plant City,US,2022-02-10 18:51:48,28.0186,-82.1129,71.67,37,0,8.05
139,Mandan,US,2022-02-10 18:50:12,46.8267,-100.8896,53.04,68,20,25.32
140,Paamiut,GL,2022-02-10 18:53:29,61.994,-49.6678,14.56,74,100,8.12
141,Half Moon Bay,US,2022-02-10 18:48:43,37.4636,-122.4286,75.07,37,0,20.71
