City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
488,Jieshi,CN,64.94,overcast clouds,22.8134,115.8257,Yuehai Hotel
491,Ubatuba,BR,89.13,broken clouds,-23.4339,-45.0711,Hotel Coquille
495,Russell,US,72.97,clear sky,32.3502,-85.1999,Macs
496,Kudat,MY,76.82,overcast clouds,6.8837,116.8477,Dream Garden Hotel
497,Martinopolis,BR,88.92,clear sky,-22.1458,-51.1708,Hotel Pousada Sollar - Martinópolis-SP
498,Cavalcante,BR,73.98,light rain,-13.7975,-47.4583,Pousada Vila dos Ipês
500,Padang,ID,76.48,overcast clouds,-0.9492,100.3543,Mercure Padang
501,Pringsewu,ID,73.15,overcast clouds,-5.3582,104.9744,Urban Style by Front One
504,Ibra,OM,63.45,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
505,Coquimbo,CL,69.24,clear sky,-29.9533,-71.3436,Hostel Del Puerto
507,Milledgeville,US,72.1,clear sky,33.0801,-83.2321,Hampton Inn Milledgeville
512,Soe,ID,65.48,overcast clouds,-9.8607,124.284,Dena Hotel
513,Winneba,GH,80.42,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
516,Springbok,ZA,76.48,light rain,-29.6643,17.8865,Undulata Country Lodge
518,Takoradi,GH,80.29,overcast clouds,4.8845,-1.7554,Raybow International Hotel
521,Andradas,BR,74.25,broken clouds,-22.0681,-46.5692,Andradas Palace Hotel
522,Fougamou,GA,76.77,moderate rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
523,Vieux-Habitants,GP,81.97,few clouds,16.0589,-61.7659,Gîtes Dardanelle
524,Burnie,AU,60.94,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
526,Banyo,CM,71.76,scattered clouds,6.75,11.8167,Motel JOMBA
534,Havelock,US,71.98,overcast clouds,34.8791,-76.9013,Sherwood Motel
536,Geraldton,AU,68.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
540,Tonantins,BR,84.13,overcast clouds,-2.8731,-67.8022,Hotel Rei Davi
542,Huarmey,PE,75.96,scattered clouds,-10.0681,-78.1522,Hotel Miramar
543,Necochea,AR,70.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
544,Canavieiras,BR,82.63,scattered clouds,-15.675,-38.9472,Bahiadomizil
545,Valparaiso,CL,71.83,clear sky,-33.0393,-71.6273,Hotel Ultramar
546,Basco,PH,76.66,clear sky,20.4487,121.9702,Nathaniel's Lodge
552,Japura,ID,72.79,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
554,Lethem,GY,95.7,broken clouds,3.3803,-59.7968,Savannah Inn
556,Veraval,IN,69.4,clear sky,20.9,70.3667,Lords Inn Somnath
558,Abonnema,NG,82.54,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
559,Mitsamiouli,KM,79.47,overcast clouds,-11.3847,43.2844,Foyer ADM
560,Rincon,US,68.45,overcast clouds,32.296,-81.2354,Days Inn Rincon
562,Chazuta,PE,83.16,overcast clouds,-6.5742,-76.1367,Hospedaje Feliz Amanecer
563,Vilhena,BR,74.68,overcast clouds,-12.7406,-60.1458,Hotel Mirage
565,Ondo,NG,77.23,broken clouds,7.1,4.8333,Leisure Spring Hotel
566,Praya,CV,73.15,overcast clouds,14.9215,-23.5087,LT Aparthotel
567,Chipata,ZM,64.31,light rain,-13.6333,32.65,Protea Hotel by Marriott Chipata
571,Townsville,AU,76.08,broken clouds,-19.25,146.8,Rydges Southbank Townsville
